Date,NumAeronaves,NumManSpeed,SpeedFrameLen,SpeedDeltaLim,SpeedStdLim,NumManTrack,TrackFrameLen,TrackDeltaLim,TrackStdLim,NumManAlt,AltFrameLen,AltDeltaLim,AltStdLim
20230511,48,0,1,10,2,0,1,5,2,0,1,300,10
20230511,48,0,1,10,5,0,1,5,5,0,1,300,20
20230511,48,0,1,10,9,0,1,5,9,0,1,300,49
20230511,48,0,1,10,10,0,1,5,10,0,1,300,50
20230511,48,0,1,10,11,0,1,5,11,0,1,300,55
20230511,48,0,1,10,15,0,1,5,15,0,1,300,100
20230511,48,0,1,30,2,0,1,14,2,0,1,590,10
20230511,48,0,1,30,5,0,1,14,5,0,1,590,20
20230511,48,0,1,30,9,0,1,14,9,0,1,590,49
20230511,48,0,1,30,10,0,1,14,10,0,1,590,50
20230511,48,0,1,30,11,0,1,14,11,0,1,590,55
20230511,48,0,1,30,15,0,1,14,15,0,1,590,100
20230511,48,0,1,60,2,0,1,15,2,0,1,600,10
20230511,48,0,1,60,5,0,1,15,5,0,1,600,20
20230511,48,0,1,60,9,0,1,15,9,0,1,600,49
20230511,48,0,1,60,10,0,1,15,10,0,1,600,50
20230511,48,0,1,60,11,0,1,15,11,0,1,600,55
20230511,48,0,1,60,15,0,1,15,15,0,1,600,100
20230511,48,0,1,99,2,0,1,16,2,0,1,610,10
20230511,48,0,1,99,5,0,1,16,5,0,1,610,20
20230511,48,0,1,99,9,0,1,16,9,0,1,610,49
20230511,48,0,1,99,10,0,1,16,10,0,1,610,50
20230511,48,0,1,99,11,0,1,16,11,0,1,610,55
20230511,48,0,1,99,15,0,1,16,15,0,1,610,100
20230511,48,0,1,100,2,0,1,20,2,0,1,900,10
20230511,48,0,1,100,5,0,1,20,5,0,1,900,20
20230511,48,0,1,100,9,0,1,20,9,0,1,900,49
20230511,48,0,1,100,10,0,1,20,10,0,1,900,50
20230511,48,0,1,100,11,0,1,20,11,0,1,900,55
20230511,48,0,1,100,15,0,1,20,15,0,1,900,100
20230511,48,0,1,105,2,0,1,30,2,0,1,1000,10
20230511,48,0,1,105,5,0,1,30,5,0,1,1000,20
20230511,48,0,1,105,9,0,1,30,9,0,1,1000,49
20230511,48,0,1,105,10,0,1,30,10,0,1,1000,50
20230511,48,0,1,105,11,0,1,30,11,0,1,1000,55
20230511,48,0,1,105,15,0,1,30,15,0,1,1000,100
20230511,48,0,3,10,2,0,3,5,2,0,5,300,10
20230511,48,0,3,10,5,0,3,5,5,0,5,300,20
20230511,48,0,3,10,9,0,3,5,9,0,5,300,49
20230511,48,0,1,10,10,1,1,5,10,0,1,300,50
20230511,48,0,1,10,11,0,1,5,11,0,1,300,55
20230511,48,0,1,10,15,0,1,5,15,0,1,300,100
20230511,48,0,1,30,2,0,1,14,2,0,1,590,10
20230511,48,0,1,30,5,0,1,14,5,0,1,590,20
20230511,48,0,1,30,9,0,1,14,9,0,1,590,49
20230511,48,0,1,30,10,0,1,14,10,0,1,590,50
20230511,48,0,1,30,11,0,1,14,11,0,1,590,55
20230511,48,0,1,30,15,0,1,14,15,0,1,590,100
20230511,48,0,1,60,2,0,1,15,2,0,1,600,10
20230511,48,0,1,60,5,0,1,15,5,0,1,600,20
20230511,48,0,1,60,9,0,1,15,9,0,1,600,49
20230511,48,0,1,60,10,0,1,15,10,0,1,600,50
20230511,48,0,1,60,11,0,1,15,11,0,1,600,55
20230511,48,0,1,60,15,0,1,15,15,0,1,600,100
20230511,48,0,1,99,2,0,1,16,2,0,1,610,10
20230511,48,0,1,99,5,0,1,16,5,0,1,610,20
20230511,48,0,1,99,9,0,1,16,9,0,1,610,49
20230511,48,0,1,99,10,0,1,16,10,0,1,610,50
20230511,48,0,1,99,11,0,1,16,11,0,1,610,55
20230511,48,0,1,99,15,0,1,16,15,0,1,610,100
20230511,48,0,1,100,2,0,1,20,2,0,1,900,10
20230511,48,0,1,100,5,0,1,20,5,0,1,900,20
20230511,48,0,1,100,9,0,1,20,9,0,1,900,49
20230511,48,0,1,100,10,0,1,20,10,0,1,900,50
20230511,48,0,1,100,11,0,1,20,11,0,1,900,55
20230511,48,0,1,100,15,0,1,20,15,0,1,900,100
20230511,48,0,1,105,2,0,1,30,2,0,1,1000,10
20230511,48,0,1,105,5,0,1,30,5,0,1,1000,20
20230511,48,0,1,105,9,0,1,30,9,0,1,1000,49
20230511,48,0,1,105,10,0,1,30,10,0,1,1000,50
20230511,48,0,1,105,11,0,1,30,11,0,1,1000,55
20230511,48,0,1,105,15,0,1,30,15,0,1,1000,100
20230511,48,0,5,10,2,0,4,5,2,0,9,300,10
20230511,48,0,5,10,5,0,4,5,5,0,9,300,20
20230511,48,0,5,10,9,0,4,5,9,0,9,300,49
20230511,48,0,1,10,10,1,1,5,10,0,1,300,50
20230511,48,0,1,10,11,0,1,5,11,0,1,300,55
20230511,48,0,1,10,15,0,1,5,15,0,1,300,100
20230511,48,0,1,30,2,0,1,14,2,0,1,590,10
20230511,48,0,1,30,5,0,1,14,5,0,1,590,20
20230511,48,0,1,30,9,0,1,14,9,0,1,590,49
20230511,48,0,1,30,10,0,1,14,10,0,1,590,50
20230511,48,0,1,30,11,0,1,14,11,0,1,590,55
20230511,48,0,1,30,15,0,1,14,15,0,1,590,100
20230511,48,0,1,60,2,0,1,15,2,0,1,600,10
20230511,48,0,1,60,5,0,1,15,5,0,1,600,20
20230511,48,0,1,60,9,0,1,15,9,0,1,600,49
20230511,48,0,1,60,10,0,1,15,10,0,1,600,50
20230511,48,0,1,60,11,0,1,15,11,0,1,600,55
20230511,48,0,1,60,15,0,1,15,15,0,1,600,100
20230511,48,0,1,99,2,0,1,16,2,0,1,610,10
20230511,48,0,1,99,5,0,1,16,5,0,1,610,20
20230511,48,0,1,99,9,0,1,16,9,0,1,610,49
20230511,48,0,1,99,10,0,1,16,10,0,1,610,50
20230511,48,0,1,99,11,0,1,16,11,0,1,610,55
20230511,48,0,1,99,15,0,1,16,15,0,1,610,100
20230511,48,0,1,100,2,0,1,20,2,0,1,900,10
20230511,48,0,1,100,5,0,1,20,5,0,1,900,20
20230511,48,0,1,100,9,0,1,20,9,0,1,900,49
20230511,48,0,1,100,10,0,1,20,10,0,1,900,50
20230511,48,0,1,100,11,0,1,20,11,0,1,900,55
20230511,48,0,1,100,15,0,1,20,15,0,1,900,100
20230511,48,0,1,105,2,0,1,30,2,0,1,1000,10
20230511,48,0,1,105,5,0,1,30,5,0,1,1000,20
20230511,48,0,1,105,9,0,1,30,9,0,1,1000,49
20230511,48,0,1,105,10,0,1,30,10,0,1,1000,50
20230511,48,0,1,105,11,0,1,30,11,0,1,1000,55
20230511,48,0,1,105,15,0,1,30,15,0,1,1000,100
20230511,48,0,6,10,2,0,5,5,2,0,10,300,10
20230511,48,0,6,10,5,0,5,5,5,0,10,300,20
20230511,48,0,6,10,9,0,5,5,9,0,10,300,49
20230511,48,0,1,10,10,1,1,5,10,0,1,300,50
20230511,48,0,1,10,11,0,1,5,11,0,1,300,55
20230511,48,0,1,10,15,0,1,5,15,0,1,300,100
20230511,48,0,1,30,2,0,1,14,2,0,1,590,10
20230511,48,0,1,30,5,0,1,14,5,0,1,590,20
20230511,48,0,1,30,9,0,1,14,9,0,1,590,49
20230511,48,0,1,30,10,0,1,14,10,0,1,590,50
20230511,48,0,1,30,11,0,1,14,11,0,1,590,55
20230511,48,0,1,30,15,0,1,14,15,0,1,590,100
20230511,48,0,1,60,2,0,1,15,2,0,1,600,10
20230511,48,0,1,60,5,0,1,15,5,0,1,600,20
20230511,48,0,1,60,9,0,1,15,9,0,1,600,49
20230511,48,0,1,60,10,0,1,15,10,0,1,600,50
20230511,48,0,1,60,11,0,1,15,11,0,1,600,55
20230511,48,0,1,60,15,0,1,15,15,0,1,600,100
20230511,48,0,1,99,2,0,1,16,2,0,1,610,10
20230511,48,0,1,99,5,0,1,16,5,0,1,610,20
20230511,48,0,1,99,9,0,1,16,9,0,1,610,49
20230511,48,0,1,99,10,0,1,16,10,0,1,610,50
20230511,48,0,1,99,11,0,1,16,11,0,1,610,55
20230511,48,0,1,99,15,0,1,16,15,0,1,610,100
20230511,48,0,1,100,2,0,1,20,2,0,1,900,10
20230511,48,0,1,100,5,0,1,20,5,0,1,900,20
20230511,48,0,1,100,9,0,1,20,9,0,1,900,49
20230511,48,0,1,100,10,0,1,20,10,0,1,900,50
20230511,48,0,1,100,11,0,1,20,11,0,1,900,55
20230511,48,0,1,100,15,0,1,20,15,0,1,900,100
20230511,48,0,1,105,2,0,1,30,2,0,1,1000,10
20230511,48,0,1,105,5,0,1,30,5,0,1,1000,20
20230511,48,0,1,105,9,0,1,30,9,0,1,1000,49
20230511,48,0,1,105,10,0,1,30,10,0,1,1000,50
20230511,48,0,1,105,11,0,1,30,11,0,1,1000,55
20230511,48,0,1,105,15,0,1,30,15,0,1,1000,100
20230511,48,0,7,10,2,0,6,5,2,0,11,300,10
20230511,48,0,7,10,5,0,6,5,5,0,11,300,20
20230511,48,0,7,10,9,0,6,5,9,0,11,300,49
20230511,48,0,1,10,10,1,1,5,10,0,1,300,50
20230511,48,0,1,10,11,0,1,5,11,0,1,300,55
20230511,48,0,1,10,15,0,1,5,15,0,1,300,100
20230511,48,0,1,30,2,0,1,14,2,0,1,590,10
20230511,48,0,1,30,5,0,1,14,5,0,1,590,20
20230511,48,0,1,30,9,0,1,14,9,0,1,590,49
20230511,48,0,1,30,10,0,1,14,10,0,1,590,50
20230511,48,0,1,30,11,0,1,14,11,0,1,590,55
20230511,48,0,1,30,15,0,1,14,15,0,1,590,100
20230511,48,0,1,60,2,0,1,15,2,0,1,600,10
20230511,48,0,1,60,5,0,1,15,5,0,1,600,20
20230511,48,0,1,60,9,0,1,15,9,0,1,600,49
20230511,48,0,1,60,10,0,1,15,10,0,1,600,50
20230511,48,0,1,60,11,0,1,15,11,0,1,600,55
20230511,48,0,1,60,15,0,1,15,15,0,1,600,100
20230511,48,0,1,99,2,0,1,16,2,0,1,610,10
20230511,48,0,1,99,5,0,1,16,5,0,1,610,20
20230511,48,0,1,99,9,0,1,16,9,0,1,610,49
20230511,48,0,1,99,10,0,1,16,10,0,1,610,50
20230511,48,0,1,99,11,0,1,16,11,0,1,610,55
20230511,48,0,1,99,15,0,1,16,15,0,1,610,100
20230511,48,0,1,100,2,0,1,20,2,0,1,900,10
20230511,48,0,1,100,5,0,1,20,5,0,1,900,20
20230511,48,0,1,100,9,0,1,20,9,0,1,900,49
20230511,48,0,1,100,10,0,1,20,10,0,1,900,50
20230511,48,0,1,100,11,0,1,20,11,0,1,900,55
20230511,48,0,1,100,15,0,1,20,15,0,1,900,100
20230511,48,0,1,105,2,0,1,30,2,0,1,1000,10
20230511,48,0,1,105,5,0,1,30,5,0,1,1000,20
20230511,48,0,1,105,9,0,1,30,9,0,1,1000,49
20230511,48,0,1,105,10,0,1,30,10,0,1,1000,50
20230511,48,0,1,105,11,0,1,30,11,0,1,1000,55
20230511,48,0,1,105,15,0,1,30,15,0,1,1000,100
20230511,48,0,10,10,2,0,10,5,2,0,17,300,10
20230511,48,0,10,10,5,0,10,5,5,0,17,300,20
20230511,48,1,1,10,9,0,1,5,9,0,1,300,49
20230511,48,0,1,10,10,0,1,5,10,0,1,300,50
20230511,48,0,1,10,11,0,1,5,11,0,1,300,55
20230511,48,0,1,10,15,0,1,5,15,0,1,300,100
20230511,48,0,1,30,2,0,1,14,2,0,1,590,10
20230511,48,0,1,30,5,0,1,14,5,0,1,590,20
20230511,48,0,1,30,9,0,1,14,9,0,1,590,49
20230511,48,0,1,30,10,0,1,14,10,0,1,590,50
20230511,48,0,1,30,11,0,1,14,11,0,1,590,55
20230511,48,0,1,30,15,0,1,14,15,0,1,590,100
20230511,48,0,1,60,2,0,1,15,2,0,1,600,10
20230511,48,0,1,60,5,0,1,15,5,0,1,600,20
20230511,48,0,1,60,9,0,1,15,9,0,1,600,49
20230511,48,0,1,60,10,0,1,15,10,0,1,600,50
20230511,48,0,1,60,11,0,1,15,11,0,1,600,55
20230511,48,0,1,60,15,0,1,15,15,0,1,600,100
20230511,48,0,1,99,2,0,1,16,2,0,1,610,10
20230511,48,0,1,99,5,0,1,16,5,0,1,610,20
20230511,48,0,1,99,9,0,1,16,9,0,1,610,49
20230511,48,0,1,99,10,0,1,16,10,0,1,610,50
20230511,48,0,1,99,11,0,1,16,11,0,1,610,55
20230511,48,0,1,99,15,0,1,16,15,0,1,610,100
20230511,48,0,1,100,2,0,1,20,2,0,1,900,10
20230511,48,0,1,100,5,0,1,20,5,0,1,900,20
20230511,48,0,1,100,9,0,1,20,9,0,1,900,49
20230511,48,0,1,100,10,0,1,20,10,0,1,900,50
20230511,48,0,1,100,11,0,1,20,11,0,1,900,55
20230511,48,0,1,100,15,0,1,20,15,0,1,900,100
20230511,48,0,1,105,2,0,1,30,2,0,1,1000,10
20230511,48,0,1,105,5,0,1,30,5,0,1,1000,20
20230511,48,0,1,105,9,0,1,30,9,0,1,1000,49
20230511,48,0,1,105,10,0,1,30,10,0,1,1000,50
20230511,48,0,1,105,11,0,1,30,11,0,1,1000,55
20230511,48,0,1,105,15,0,1,30,15,0,1,1000,100
20230511,48,0,15,10,2,0,15,5,2,0,30,300,10
20230511,48,0,15,10,5,0,15,5,5,0,30,300,20
20230511,48,1,1,10,9,0,1,5,9,0,1,300,49
20230511,48,0,1,10,10,0,1,5,10,0,1,300,50
20230511,48,0,1,10,11,0,1,5,11,0,1,300,55
20230511,48,0,1,10,15,0,1,5,15,0,1,300,100
20230511,48,0,1,30,2,0,1,14,2,0,1,590,10
20230511,48,0,1,30,5,0,1,14,5,0,1,590,20
20230511,48,0,1,30,9,0,1,14,9,0,1,590,49
20230511,48,0,1,30,10,0,1,14,10,0,1,590,50
20230511,48,0,1,30,11,0,1,14,11,0,1,590,55
20230511,48,0,1,30,15,0,1,14,15,0,1,590,100
20230511,48,0,1,60,2,0,1,15,2,0,1,600,10
20230511,48,0,1,60,5,0,1,15,5,0,1,600,20
20230511,48,0,1,60,9,0,1,15,9,0,1,600,49
20230511,48,0,1,60,10,0,1,15,10,0,1,600,50
20230511,48,0,1,60,11,0,1,15,11,0,1,600,55
20230511,48,0,1,60,15,0,1,15,15,0,1,600,100
20230511,48,0,1,99,2,0,1,16,2,0,1,610,10
20230511,48,0,1,99,5,0,1,16,5,0,1,610,20
20230511,48,0,1,99,9,0,1,16,9,0,1,610,49
20230511,48,0,1,99,10,0,1,16,10,0,1,610,50
20230511,48,0,1,99,11,0,1,16,11,0,1,610,55
20230511,48,0,1,99,15,0,1,16,15,0,1,610,100
20230511,48,0,1,100,2,0,1,20,2,0,1,900,10
20230511,48,0,1,100,5,0,1,20,5,0,1,900,20
20230511,48,0,1,100,9,0,1,20,9,0,1,900,49
20230511,48,0,1,100,10,0,1,20,10,0,1,900,50
20230511,48,0,1,100,11,0,1,20,11,0,1,900,55
20230511,48,0,1,100,15,0,1,20,15,0,1,900,100
20230511,48,0,1,105,2,0,1,30,2,0,1,1000,10
20230511,48,0,1,105,5,0,1,30,5,0,1,1000,20
20230511,48,0,1,105,9,0,1,30,9,0,1,1000,49
20230511,48,0,1,105,10,0,1,30,10,0,1,1000,50
20230511,48,0,1,105,11,0,1,30,11,0,1,1000,55
20230511,48,0,1,105,15,0,1,30,15,0,1,1000,100
20230520,246,0,1,10,2,1,1,5,2,0,1,300,10
20230520,246,0,1,10,5,1,1,5,5,0,1,300,20
20230520,246,0,5,10,9,3,4,5,9,0,9,300,49
20230520,246,11,1,10,10,5,1,5,10,1,1,300,50
20230520,246,0,5,10,11,3,4,5,11,0,9,300,55
20230520,246,21,1,10,15,6,1,5,15,0,1,300,100
20230520,246,0,1,30,2,0,1,14,2,0,1,590,10
20230520,246,0,1,30,5,0,1,14,5,0,1,590,20
20230520,246,0,1,30,9,0,1,14,9,0,1,590,49
20230520,246,0,1,30,10,0,1,14,10,0,1,590,50
20230520,246,0,1,30,11,0,1,14,11,0,1,590,55
20230520,246,0,1,30,15,0,1,14,15,0,1,590,100
20230520,246,0,1,60,2,0,1,15,2,0,1,600,10
20230520,246,0,1,60,5,0,1,15,5,0,1,600,20
20230520,246,0,1,60,9,0,1,15,9,0,1,600,49
20230520,246,0,1,60,10,0,1,15,10,0,1,600,50
20230520,246,0,1,60,11,0,1,15,11,0,1,600,55
20230520,246,0,1,60,15,0,1,15,15,0,1,600,100
20230520,246,0,1,99,2,0,1,16,2,0,1,610,10
20230520,246,0,1,99,5,0,1,16,5,0,1,610,20
20230520,246,0,1,99,9,0,1,16,9,0,1,610,49
20230520,246,0,1,99,10,0,1,16,10,0,1,610,50
20230520,246,0,1,99,11,0,1,16,11,0,1,610,55
20230520,246,0,1,99,15,0,1,16,15,0,1,610,100
20230520,246,0,1,100,2,0,1,20,2,0,1,900,10
20230520,246,0,1,100,5,0,1,20,5,0,1,900,20
20230520,246,0,1,100,9,0,1,20,9,0,1,900,49
20230520,246,0,1,100,10,0,1,20,10,0,1,900,50
20230520,246,0,1,100,11,0,1,20,11,0,1,900,55
20230520,246,0,1,100,15,0,1,20,15,0,1,900,100
20230520,246,0,1,105,2,0,1,30,2,0,1,1000,10
20230520,246,0,1,105,5,0,1,30,5,0,1,1000,20
20230520,246,0,1,105,9,0,1,30,9,0,1,1000,49
20230520,246,0,1,105,10,0,1,30,10,0,1,1000,50
20230520,246,0,1,105,11,0,1,30,11,0,1,1000,55
20230520,246,0,1,105,15,0,1,30,15,0,1,1000,100
20230520,246,3,1,10,2,3,1,5,2,0,1,300,10
20230520,246,0,1,10,5,1,1,5,5,0,1,300,20
20230520,246,0,5,10,9,3,4,5,9,0,9,300,49
20230520,246,11,1,10,10,5,1,5,10,1,1,300,50
20230520,246,0,5,10,11,3,4,5,11,0,9,300,55
20230520,246,21,1,10,15,6,1,5,15,0,1,300,100
20230520,246,0,1,30,2,0,1,14,2,0,1,590,10
20230520,246,0,1,30,5,0,1,14,5,0,1,590,20
20230520,246,0,1,30,9,0,1,14,9,0,1,590,49
20230520,246,0,1,30,10,0,1,14,10,0,1,590,50
20230520,246,0,1,30,11,0,1,14,11,0,1,590,55
20230520,246,0,1,30,15,0,1,14,15,0,1,590,100
20230520,246,0,1,60,2,0,1,15,2,0,1,600,10
20230520,246,0,1,60,5,0,1,15,5,0,1,600,20
20230520,246,0,1,60,9,0,1,15,9,0,1,600,49
20230520,246,0,1,60,10,0,1,15,10,0,1,600,50
20230520,246,0,1,60,11,0,1,15,11,0,1,600,55
20230520,246,0,1,60,15,0,1,15,15,0,1,600,100
20230520,246,0,1,99,2,0,1,16,2,0,1,610,10
20230520,246,0,1,99,5,0,1,16,5,0,1,610,20
20230520,246,0,1,99,9,0,1,16,9,0,1,610,49
20230520,246,0,1,99,10,0,1,16,10,0,1,610,50
20230520,246,0,1,99,11,0,1,16,11,0,1,610,55
20230520,246,0,1,99,15,0,1,16,15,0,1,610,100
20230520,246,0,1,100,2,0,1,20,2,0,1,900,10
20230520,246,0,1,100,5,0,1,20,5,0,1,900,20
20230520,246,0,1,100,9,0,1,20,9,0,1,900,49
20230520,246,0,1,100,10,0,1,20,10,0,1,900,50
20230520,246,0,1,100,11,0,1,20,11,0,1,900,55
20230520,246,0,1,100,15,0,1,20,15,0,1,900,100
20230520,246,0,1,105,2,0,1,30,2,0,1,1000,10
20230520,246,0,1,105,5,0,1,30,5,0,1,1000,20
20230520,246,0,1,105,9,0,1,30,9,0,1,1000,49
20230520,246,0,1,105,10,0,1,30,10,0,1,1000,50
20230520,246,0,1,105,11,0,1,30,11,0,1,1000,55
20230520,246,0,1,105,15,0,1,30,15,0,1,1000,100
20230520,246,6,3,10,2,2,3,5,2,2,5,300,10
20230520,246,2,1,10,5,5,1,5,5,0,1,300,20
20230520,246,0,5,10,9,3,4,5,9,0,9,300,49
20230520,246,11,1,10,10,5,1,5,10,1,1,300,50
20230520,246,0,5,10,11,3,4,5,11,0,9,300,55
20230520,246,21,1,10,15,6,1,5,15,0,1,300,100
20230520,246,0,1,30,2,0,1,14,2,0,1,590,10
20230520,246,0,1,30,5,0,1,14,5,0,1,590,20
20230520,246,0,1,30,9,0,1,14,9,0,1,590,49
20230520,246,0,1,30,10,0,1,14,10,0,1,590,50
20230520,246,0,1,30,11,0,1,14,11,0,1,590,55
20230520,246,0,1,30,15,0,1,14,15,0,1,590,100
20230520,246,0,1,60,2,0,1,15,2,0,1,600,10
20230520,246,0,1,60,5,0,1,15,5,0,1,600,20
20230520,246,0,1,60,9,0,1,15,9,0,1,600,49
20230520,246,0,1,60,10,0,1,15,10,0,1,600,50
20230520,246,0,1,60,11,0,1,15,11,0,1,600,55
20230520,246,0,1,60,15,0,1,15,15,0,1,600,100
20230520,246,0,1,99,2,0,1,16,2,0,1,610,10
20230520,246,0,1,99,5,0,1,16,5,0,1,610,20
20230520,246,0,1,99,9,0,1,16,9,0,1,610,49
20230520,246,0,1,99,10,0,1,16,10,0,1,610,50
20230520,246,0,1,99,11,0,1,16,11,0,1,610,55
20230520,246,0,1,99,15,0,1,16,15,0,1,610,100
20230520,246,0,1,100,2,0,1,20,2,0,1,900,10
20230520,246,0,1,100,5,0,1,20,5,0,1,900,20
20230520,246,0,1,100,9,0,1,20,9,0,1,900,49
20230520,246,0,1,100,10,0,1,20,10,0,1,900,50
20230520,246,0,1,100,11,0,1,20,11,0,1,900,55
20230520,246,0,1,100,15,0,1,20,15,0,1,900,100
20230520,246,0,1,105,2,0,1,30,2,0,1,1000,10
20230520,246,0,1,105,5,0,1,30,5,0,1,1000,20
20230520,246,0,1,105,9,0,1,30,9,0,1,1000,49
20230520,246,0,1,105,10,0,1,30,10,0,1,1000,50
20230520,246,0,1,105,11,0,1,30,11,0,1,1000,55
20230520,246,0,1,105,15,0,1,30,15,0,1,1000,100
20230520,246,6,1,10,2,7,1,5,2,1,1,300,10
20230520,246,0,1,10,5,1,1,5,5,0,1,300,20
20230520,246,0,5,10,9,3,4,5,9,0,9,300,49
20230520,246,11,1,10,10,5,1,5,10,1,1,300,50
20230520,246,0,5,10,11,3,4,5,11,0,9,300,55
20230520,246,21,1,10,15,6,1,5,15,0,1,300,100
20230520,246,0,1,30,2,0,1,14,2,0,1,590,10
20230520,246,0,1,30,5,0,1,14,5,0,1,590,20
20230520,246,0,1,30,9,0,1,14,9,0,1,590,49
20230520,246,0,1,30,10,0,1,14,10,0,1,590,50
20230520,246,0,1,30,11,0,1,14,11,0,1,590,55
20230520,246,0,1,30,15,0,1,14,15,0,1,590,100
20230520,246,0,1,60,2,0,1,15,2,0,1,600,10
20230520,246,0,1,60,5,0,1,15,5,0,1,600,20
20230520,246,0,1,60,9,0,1,15,9,0,1,600,49
20230520,246,0,1,60,10,0,1,15,10,0,1,600,50
20230520,246,0,1,60,11,0,1,15,11,0,1,600,55
20230520,246,0,1,60,15,0,1,15,15,0,1,600,100
20230520,246,0,1,99,2,0,1,16,2,0,1,610,10
20230520,246,0,1,99,5,0,1,16,5,0,1,610,20
20230520,246,0,1,99,9,0,1,16,9,0,1,610,49
20230520,246,0,1,99,10,0,1,16,10,0,1,610,50
20230520,246,0,1,99,11,0,1,16,11,0,1,610,55
20230520,246,0,1,99,15,0,1,16,15,0,1,610,100
20230520,246,0,1,100,2,0,1,20,2,0,1,900,10
20230520,246,0,1,100,5,0,1,20,5,0,1,900,20
20230520,246,0,1,100,9,0,1,20,9,0,1,900,49
20230520,246,0,1,100,10,0,1,20,10,0,1,900,50
20230520,246,0,1,100,11,0,1,20,11,0,1,900,55
20230520,246,0,1,100,15,0,1,20,15,0,1,900,100
20230520,246,0,1,105,2,0,1,30,2,0,1,1000,10
20230520,246,0,1,105,5,0,1,30,5,0,1,1000,20
20230520,246,0,1,105,9,0,1,30,9,0,1,1000,49
20230520,246,0,1,105,10,0,1,30,10,0,1,1000,50
20230520,246,0,1,105,11,0,1,30,11,0,1,1000,55
20230520,246,0,1,105,15,0,1,30,15,0,1,1000,100
20230520,246,11,1,10,2,9,1,5,2,0,1,300,10
20230520,246,0,1,10,5,1,1,5,5,0,1,300,20
20230520,246,0,5,10,9,3,4,5,9,0,9,300,49
20230520,246,11,1,10,10,5,1,5,10,1,1,300,50
20230520,246,0,5,10,11,3,4,5,11,0,9,300,55
20230520,246,21,1,10,15,6,1,5,15,0,1,300,100
20230520,246,0,1,30,2,0,1,14,2,0,1,590,10
20230520,246,0,1,30,5,0,1,14,5,0,1,590,20
20230520,246,0,1,30,9,0,1,14,9,0,1,590,49
20230520,246,0,1,30,10,0,1,14,10,0,1,590,50
20230520,246,0,1,30,11,0,1,14,11,0,1,590,55
20230520,246,0,1,30,15,0,1,14,15,0,1,590,100
20230520,246,0,1,60,2,0,1,15,2,0,1,600,10
20230520,246,0,1,60,5,0,1,15,5,0,1,600,20
20230520,246,0,1,60,9,0,1,15,9,0,1,600,49
20230520,246,0,1,60,10,0,1,15,10,0,1,600,50
20230520,246,0,1,60,11,0,1,15,11,0,1,600,55
20230520,246,0,1,60,15,0,1,15,15,0,1,600,100
20230520,246,0,1,99,2,0,1,16,2,0,1,610,10
20230520,246,0,1,99,5,0,1,16,5,0,1,610,20
20230520,246,0,1,99,9,0,1,16,9,0,1,610,49
20230520,246,0,1,99,10,0,1,16,10,0,1,610,50
20230520,246,0,1,99,11,0,1,16,11,0,1,610,55
20230520,246,0,1,99,15,0,1,16,15,0,1,610,100
20230520,246,0,1,100,2,0,1,20,2,0,1,900,10
20230520,246,0,1,100,5,0,1,20,5,0,1,900,20
20230520,246,0,1,100,9,0,1,20,9,0,1,900,49
20230520,246,0,1,100,10,0,1,20,10,0,1,900,50
20230520,246,0,1,100,11,0,1,20,11,0,1,900,55
20230520,246,0,1,100,15,0,1,20,15,0,1,900,100
20230520,246,0,1,105,2,0,1,30,2,0,1,1000,10
20230520,246,0,1,105,5,0,1,30,5,0,1,1000,20
20230520,246,0,1,105,9,0,1,30,9,0,1,1000,49
20230520,246,0,1,105,10,0,1,30,10,0,1,1000,50
20230520,246,0,1,105,11,0,1,30,11,0,1,1000,55
20230520,246,0,1,105,15,0,1,30,15,0,1,1000,100
20230520,246,11,1,10,2,9,1,5,2,0,1,300,10
20230520,246,0,1,10,5,1,1,5,5,0,1,300,20
20230520,246,0,5,10,9,3,4,5,9,0,9,300,49
20230520,246,11,1,10,10,5,1,5,10,1,1,300,50
20230520,246,0,5,10,11,3,4,5,11,0,9,300,55
20230520,246,21,1,10,15,6,1,5,15,0,1,300,100
20230520,246,0,1,30,2,0,1,14,2,0,1,590,10
20230520,246,0,1,30,5,0,1,14,5,0,1,590,20
20230520,246,0,1,30,9,0,1,14,9,0,1,590,49
20230520,246,0,1,30,10,0,1,14,10,0,1,590,50
20230520,246,0,1,30,11,0,1,14,11,0,1,590,55
20230520,246,0,1,30,15,0,1,14,15,0,1,590,100
20230520,246,0,1,60,2,0,1,15,2,0,1,600,10
20230520,246,0,1,60,5,0,1,15,5,0,1,600,20
20230520,246,0,1,60,9,0,1,15,9,0,1,600,49
20230520,246,0,1,60,10,0,1,15,10,0,1,600,50
20230520,246,0,1,60,11,0,1,15,11,0,1,600,55
20230520,246,0,1,60,15,0,1,15,15,0,1,600,100
20230520,246,0,1,99,2,0,1,16,2,0,1,610,10
20230520,246,0,1,99,5,0,1,16,5,0,1,610,20
20230520,246,0,1,99,9,0,1,16,9,0,1,610,49
20230520,246,0,1,99,10,0,1,16,10,0,1,610,50
20230520,246,0,1,99,11,0,1,16,11,0,1,610,55
20230520,246,0,1,99,15,0,1,16,15,0,1,610,100
20230520,246,0,1,100,2,0,1,20,2,0,1,900,10
20230520,246,0,1,100,5,0,1,20,5,0,1,900,20
20230520,246,0,1,100,9,0,1,20,9,0,1,900,49
20230520,246,0,1,100,10,0,1,20,10,0,1,900,50
